101|Double gr grandparent-grandchild|23|-1|1/4|3/32|1|0|0|0|0|0|0|0|0|0|0|0|0
102|Double grandparent-grandchild|102|-1|1/2|0|1|0|0|0|0|0|0|0|0|0|0|0|0
103|Grandparent-grandchild & half grand avuncular|27|-1|5/16|23/256|1|0|0|0|0|0|0|0|0|0|0|0|0
104|Parent-offspring & half avuncular|104|-1|5/8|0|1|0|0|0|0|0|0|0|0|0|0|0|0
105|Half siblings & triple half 1st cousins|105|-1|7/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
106|Parent-offspring & double half 1st cousins, 1 rem|106|-1|9/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
107|Double gr gr gr grandparent-grandchild|12|-1|1/16|7/256|1|0|0|0|0|0|0|0|0|0|0|0|0
108|Double gr gr grandparent-grandchild|8|-1|1/8|3/64|1|0|0|0|0|0|0|0|0|0|0|0|0
109|Gr gr grandparent-grandchild & gr gr grand avuncular|34|-1|3/32|43/1024|1|0|0|0|0|0|0|0|0|0|0|0|0
110|Gr grandparent-grandchild & gr grand avuncular|110|-1|3/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
111|Gr grandparent-grandchild & 1st cousins, 3 rem|111|-1|9/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
112|Grandparent-grandchild & 2nd cousins, 2 rem|112|-1|33/128|0|1|0|0|0|0|0|0|0|0|0|0|0|0
113|Grandparent-grandchild & 1st cousins, 2 rem|113|-1|9/32|0|1|0|0|0|0|0|0|0|0|0|0|0|0
114|Parent-offspring & 2nd cousins, 1 rem|114|-1|33/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
115|Siblings & double 3rd cousins|115|-1|33/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
116|Parent-offspring & double 3rd cousins, 1 rem|116|-1|65/128|0|1|0|0|0|0|0|0|0|0|0|0|0|0
117|Avuncular & double 3rd cousins, 1 rem|117|-1|33/128|0|1|0|0|0|0|0|0|0|0|0|0|0|0
118|Siblings & double half 1st cousins|118|-1|5/8|0|1|0|0|0|0|0|0|0|0|0|0|0|0
119|Avuncular & double half 1st cousins, 1 rem|27|-1|5/16|23/256|1|0|0|0|0|0|0|0|0|0|0|0|0
120|Grandparent-grandchild & grand avuncular|26|-1|3/8|7/64|1|0|0|0|0|0|0|0|0|0|0|0|0
121|Parent-offspring & avuncular|121|-1|3/4|0|1|0|0|0|0|0|0|0|0|0|0|0|0
122|Siblings & double 1st cousins|122|-1|3/4|0|1|0|0|0|0|0|0|0|0|0|0|0|0
123|Parent-offspring & double 1st cousins, 1 rem|123|-1|5/8|0|1|0|0|0|0|0|0|0|0|0|0|0|0
124|Avuncular & double 1st cousins, 1 rem|26|-1|3/8|7/64|1|0|0|0|0|0|0|0|0|0|0|0|0
125|Grandparent-grandchild & gr grandparent-grandchild|26|-1|3/8|7/64|1|0|0|0|0|0|0|0|0|0|0|0|0
126|Parent-offspring & grandparent-grandchild|126|1|3/4|0|-1|0|0|0|0|0|0|0|0|0|0|0|0
127|Parent-offspring & half siblings|127|-1|3/4|0|1|0|0|0|0|0|0|0|0|0|0|0|0
128|Grandparent-grandchild & half avuncular|26|-1|3/8|7/64|1|0|0|0|0|0|0|0|0|0|0|0|0
129|Siblings & double half avuncular|129|-1|3/4|0|1|0|0|0|0|0|0|0|0|0|0|0|0
130|Parent-offspring & half grand avuncular & half 1st cousins|130|-1|5/8|0|1|0|0|0|0|0|0|0|0|0|0|0|0
131|Avuncular & half grand avuncular & half 1st cousins|26|-1|3/8|7/64|1|0|0|0|0|0|0|0|0|0|0|0|0
132|Parent-offspring & 1st cousins, 1 rem|132|-1|9/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
133|Siblings & double 2nd cousins|133|-1|9/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
134|Avuncular & double 2nd cousins, 1 rem|134|-1|9/32|0|1|0|0|0|0|0|0|0|0|0|0|0|0
135|Parent-offspring & double 2nd cousins, 1 rem|135|-1|17/32|0|1|0|0|0|0|0|0|0|0|0|0|0|0
